,average_voltage,capacity_grav,capacity_vol,energy_grav,energy_vol,max_frac,max_voltage,min_frac,min_instability,min_voltage,nsteps,numsites
0,2.32518517,50.2286086,269.2627711,116.7908158,626.0858022,0.083333333,2.32518517,0.0,0.0,2.32518517,1,11
1,3.291747695,39.67448282,154.2156975,130.5983874,507.6391669,0.052631579,3.291747695,0.0,9.68e-05,3.291747695,1,18
2,3.60967118,181.9432051,651.7086953,656.7551439,2352.454095,0.183673469,5.062579362,0.0,0.025050513,2.660168512,3,40
3,3.20116917,73.48421696,329.7269458,235.2354098,1055.511733,0.090909091,3.20116917,0.0,0.049028172,3.20116917,1,10
4,2.438309055,73.48421696,306.0814057,179.1772316,746.3210631,0.090909091,2.438309055,0.0,0.0,2.438309055,1,10
5,4.323377512,101.2122861,324.0920982,437.5789216,1401.172489,0.1,5.232439825,0.0,0.004088352,3.4143152,2,18
6,5.21025044,51.27818929,174.707261,267.1722083,910.2685837,0.052631579,5.21025044,0.0,0.000705717,5.21025044,1,18
7,3.07479086,52.89743283,161.4936738,162.648543,496.5592722,0.055555556,3.07479086,0.0,0.017240096,3.07479086,1,17
8,3.323922765,52.89743283,160.0973525,175.8269812,532.1512345,0.055555556,3.323922765,0.0,0.028410774,3.323922765,1,17
9,3.388839185,52.89743283,184.4849974,179.2608932,625.1899882,0.055555556,3.388839185,0.0,0.024255645,3.388839185,1,17
10,3.646267255,52.89743283,188.7234848,192.8781772,688.136263,0.055555556,3.646267255,0.0,0.01120411,3.646267255,1,17
11,3.52294928,52.89743283,196.1639902,186.3549729,691.0757882,0.055555556,3.52294928,0.0,0.008197462,3.52294928,1,17
12,2.988995015,180.1711769,567.1067801,538.5307495,1695.079339,0.375,2.988995015,0.285714286,0.086427915,2.988995015,1,5
13,3.655577203,222.9958467,726.0351229,815.1785335,2654.077444,0.25,3.655577203,0.076923077,0.080980164,3.655577203,1,12
14,3.82626851,154.4768629,543.9613806,591.0699561,2081.342301,0.15,3.82626851,0.0,0.059487044,3.82626851,1,17
15,3.67144824,173.6488557,585.4690309,637.5427856,2149.519243,0.166666667,3.67144824,0.0,0.080442331,3.67144824,1,10
16,3.627713337,133.4665983,476.051405,484.1785586,1726.978031,0.133333333,3.627713337,0.0,0.069435984,3.627713337,1,13
17,3.032714892,141.2003655,495.5438335,428.2204512,1502.843164,0.142857143,3.032714892,0.0,0.045939426,3.032714892,1,6
18,2.79976464,63.11853046,235.5748027,176.7170297,659.5540027,0.071428571,2.79976464,0.0,0.079587429,2.79976464,1,13
19,2.24233811,51.29455212,197.124575,115.019729,442.0199469,0.0625,2.24233811,0.0,0.061612293,2.24233811,1,15
20,4.46854084,103.4612357,266.6512188,462.3207569,1191.541861,0.25,4.46854084,0.2,0.013229035,4.46854084,1,9
21,3.587166135,106.5234531,501.0985102,382.1173235,1797.523606,0.25,3.587166135,0.166666667,0.058198232,3.587166135,1,15
22,3.197080877,202.9878131,926.3021808,648.9684555,2961.462988,0.25,3.197080877,0.076923077,0.040121241,3.197080877,1,12
23,5.327178873,115.377711,295.6842515,614.6377046,1575.162898,0.086956522,5.40074389,0.0,0.029144277,5.253613855,2,21
24,5.484298095,133.4687775,326.3014158,731.9825623,1789.534233,0.1,5.711726373,0.0,0.066195663,5.256869817,2,18
25,5.12280989,170.7505493,460.648889,874.7226026,2359.816684,0.183673469,5.296617258,0.069767442,1.78e-15,4.949002522,2,40
26,4.62529955,92.56217343,255.6665356,428.1277791,1182.534312,0.25,4.62529955,0.2,0.055020058,4.62529955,1,12
27,5.144811168,77.68938211,215.6973554,399.6972008,1109.722163,0.0625,5.144811168,0.0,0.072769769,5.144811168,1,45
28,4.99452379,100.5266441,310.6037608,502.0827153,1551.317872,0.214285714,4.99452379,0.153846154,0.014080368,4.99452379,1,11
29,4.767807625,100.5266441,310.9829445,479.2917001,1482.706854,0.214285714,4.767807625,0.153846154,0.031774353,4.767807625,1,11
